Iteration,Block,Training Accuracy,Resource Used,Model Size,Test Accuracy,Eval Time
1,0,90.548,673355240.0,157046906,87.08,6.9342429637908936
1,1,90.694,682126016.0,157046906,87.08,6.95065450668335
1,2,90.59,688328384.0,157046906,87.08,7.350607395172119
1,3,90.634,686770880.0,157046906,87.08,6.939019680023193
1,4,90.596,688660160.0,157046906,87.08,7.029266119003296
1,5,90.546,692348608.0,157046906,87.08,7.389137029647827
1,6,64.12,693348112.0,157046906,87.08,7.3213818073272705
2,0,91.078,655570408.0,156530682,87.39,6.998736619949341
2,1,91.12599999999999,664341184.0,156530682,87.39,6.952806711196899
2,2,91.108,670543552.0,156530682,87.39,7.320672988891602
2,3,91.116,668986048.0,156530682,87.39,6.911284446716309
2,4,91.044,672799168.0,156530682,87.39,6.895954370498657
2,5,90.7,675202752.0,156530682,87.39,6.938656806945801
2,6,66.316,681024848.0,156530682,87.39,6.941415786743164
3,0,91.38199999999999,633765352.0,156005242,87.48,6.961651802062988
3,1,91.306,643314880.0,156005242,87.48,6.906245470046997
3,2,91.264,648738496.0,156005242,87.48,6.922425746917725
3,3,91.4,648349120.0,156005242,87.48,7.051751375198364
3,4,91.314,650994112.0,156005242,87.48,6.98865270614624
3,5,91.02799999999999,654143168.0,156005242,87.48,7.003514766693115
3,6,66.456,659219792.0,156005242,87.48,7.006082773208618
4,0,91.654,611570920.0,139773370,87.64,7.36216139793396
4,1,91.57,621120448.0,139773370,87.64,7.328036308288574
4,2,91.546,627712192.0,139773370,87.64,6.940226316452026
4,3,91.57600000000001,626154688.0,139773370,87.64,6.995824098587036
4,4,91.56800000000001,630259840.0,139773370,87.64,6.985451698303223
4,5,91.312,632587712.0,139773370,87.64,7.367743730545044
4,6,68.448,637025360.0,139773370,87.64,7.390096426010132
5,0,91.71000000000001,593481640.0,139406906,87.51,6.960390329360962
5,1,91.73599999999999,603031168.0,139406906,87.51,7.053239107131958
5,2,91.73400000000001,614782144.0,139406906,87.51,6.997318983078003
5,3,91.69800000000001,609525568.0,139406906,87.51,6.960157155990601
5,4,91.512,612170560.0,139406906,87.51,6.937628746032715
5,5,91.338,615158656.0,139406906,87.51,7.066124677658081
5,6,65.608,618936080.0,139406906,87.51,6.947798490524292
6,0,91.872,578003944.0,139241594,87.74,6.870144844055176
6,1,91.796,588137536.0,139241594,87.74,7.29553747177124
6,2,91.712,599304448.0,139241594,87.74,6.914244651794434
6,3,91.77199999999999,594923968.0,139241594,87.74,6.957582712173462
6,4,91.718,596692864.0,139241594,87.74,7.36762261390686
6,5,91.38,600250816.0,139241594,87.74,7.3503923416137695
6,6,68.246,603458384.0,139241594,87.74,6.946303367614746
7,0,91.744,541225744.0,138875194,87.78,6.954389572143555
7,1,92.096,553692136.0,138875194,87.78,6.9642744064331055
7,2,92.01599999999999,562526248.0,138875194,87.78,7.035265684127808
7,3,92.024,558145768.0,138875194,87.78,7.351488351821899
7,4,91.908,563532520.0,138875194,87.78,6.980910539627075
7,5,91.60199999999999,564042472.0,138875194,87.78,7.005415439605713
7,6,68.118,566680184.0,138875194,87.78,6.927473306655884
8,0,92.04,525748048.0,138610426,87.66,6.991108417510986
8,1,92.05600000000001,538798504.0,138610426,87.66,6.954296827316284
8,2,91.938,547048552.0,138610426,87.66,6.97386908531189
8,3,91.92,543544168.0,138610426,87.66,6.988911390304565
8,4,91.994,548054824.0,138610426,87.66,6.932993173599243
8,5,91.83200000000001,549134632.0,138610426,87.66,7.343478441238403
8,6,68.58999999999999,551202488.0,138610426,87.66,6.92243504524231
9,0,92.19000000000001,504353104.0,138161082,87.71,6.858541250228882
9,1,92.092,515070760.0,138161082,87.71,7.005836009979248
9,2,92.03,523904872.0,138161082,87.71,6.976482391357422
9,3,92.2,519816424.0,138161082,87.71,6.952924728393555
9,4,92.11399999999999,524327080.0,138161082,87.71,6.998580694198608
9,5,91.862,525976744.0,138161082,87.71,7.017126560211182
9,6,67.472,527474744.0,138161082,87.71,6.92663836479187
10,0,92.166,485371024.0,137861518,87.98,6.890214681625366
10,1,92.16,496088680.0,137861518,87.98,6.948189973831177
10,2,92.108,505798888.0,137861518,87.98,6.956309795379639
10,3,92.252,507161704.0,137861518,87.98,6.928362607955933
10,4,92.098,506513128.0,137861518,87.98,6.989643573760986
10,5,92.08800000000001,507469544.0,137861518,87.98,6.95725417137146
10,6,68.38,508492664.0,137861518,87.98,7.036337852478027
11,0,92.354,472716304.0,137729102,87.83,6.969143390655518
11,1,92.306,495297832.0,137729102,87.83,6.974131107330322
11,2,92.116,493728232.0,137729102,87.83,6.909595012664795
11,3,92.294,494506984.0,137729102,87.83,6.955555438995361
11,4,92.186,494637160.0,137729102,87.83,6.928623676300049
11,5,92.066,495289704.0,137729102,87.83,6.916924953460693
11,6,67.682,495837944.0,137729102,87.83,6.954157829284668
12,0,92.318,462018832.0,137596750,87.85,6.9878082275390625
12,1,92.412,483433960.0,137596750,87.85,6.96079683303833
12,2,92.246,482156392.0,137596750,87.85,6.9249327182769775
12,3,92.35,482643112.0,137596750,87.85,7.058862686157227
12,4,92.196,482773288.0,137596750,87.85,7.421325206756592
12,5,92.25999999999999,483900712.0,137596750,87.85,6.981273412704468
12,6,66.552,483974072.0,137596750,87.85,6.976325035095215
13,0,92.49000000000001,451321360.0,137464334,87.87,7.378080606460571
13,1,92.472,471570088.0,137464334,87.87,6.947904348373413
13,2,92.41,470584552.0,137464334,87.87,6.954887866973877
13,3,92.446,470779240.0,137464334,87.87,6.907202959060669
13,4,92.288,470909416.0,137464334,87.87,6.984107255935669
13,5,92.308,472511720.0,137464334,87.87,6.948621511459351
13,6,89.862,472553400.0,137464334,87.87,7.371674537658691
14,0,92.444,440623888.0,137164750,87.87,6.9725611209869385
14,1,92.446,459706216.0,137164750,87.87,7.374385833740234
14,2,92.338,459012712.0,137164750,87.87,6.931834697723389
14,3,92.47999999999999,458915368.0,137164750,87.87,7.083137512207031
14,4,92.368,459045544.0,137164750,87.87,6.933131217956543
14,5,92.42399999999999,461122728.0,137164750,87.87,7.006654739379883
14,6,90.988,461110568.0,137164750,87.87,6.920213937759399
15,0,92.464,427969168.0,137032398,87.9,6.96758770942688
15,1,92.51599999999999,447051496.0,137032398,87.9,6.906368017196655
15,2,92.43599999999999,446942056.0,137032398,87.9,6.9026780128479
15,3,92.476,446260648.0,137032398,87.9,7.454127788543701
15,4,92.474,447169576.0,137032398,87.9,6.942666292190552
15,5,92.488,448847912.0,137032398,87.9,7.040081977844238
15,6,91.402,448876888.0,137032398,87.9,6.97187352180481
16,0,92.538,417271696.0,124111438,88.02,6.873670339584351
16,1,92.542,435187624.0,124111438,88.02,6.894515037536621
16,2,92.43599999999999,435370216.0,124111438,88.02,7.310123443603516
16,3,92.422,434396776.0,124111438,88.02,6.996816873550415
16,4,92.55799999999999,435305704.0,124111438,88.02,6.951772689819336
16,5,92.5,437363944.0,124111438,88.02,7.342171907424927
16,6,91.862,437411896.0,124111438,88.02,6.957178354263306
17,0,92.552,405525904.0,123984654,87.93,7.325286865234375
17,1,92.54599999999999,423441832.0,123984654,87.93,6.950047969818115
17,2,92.278,423624424.0,123984654,87.93,7.31345272064209
17,3,92.426,423429736.0,123984654,87.93,6.969886302947998
17,4,92.364,423559912.0,123984654,87.93,7.563655614852905
17,5,92.36999999999999,426043624.0,123984654,87.93,7.284569978713989
17,6,91.92399999999999,426064984.0,123984654,87.93,6.9776411056518555
18,0,92.336,375746104.0,123858638,88.06,6.9509546756744385
18,1,92.58800000000001,394828432.0,123858638,88.06,6.970853805541992
18,2,92.488,393844624.0,123858638,88.06,6.961104154586792
18,3,92.458,393649936.0,123858638,88.06,6.906440258026123
18,4,92.384,393780112.0,123858638,88.06,6.929588556289673
18,5,92.47,396606864.0,123858638,88.06,7.26595139503479
18,6,92.042,396639744.0,123858638,88.06,6.907192230224609
19,0,92.422,366215032.0,114167950,87.73,6.994049787521362
19,1,92.536,384130960.0,114167950,87.73,7.611797571182251
19,2,92.506,383439184.0,114167950,87.73,7.264848947525024
19,3,92.414,382952464.0,114167950,87.73,7.201679229736328
19,4,92.568,386019088.0,114167950,87.73,7.721640586853027
19,5,92.54,386252432.0,114167950,87.73,7.261523485183716
19,6,92.246,386296832.0,114167950,87.73,7.576770305633545
20,0,92.342,357405688.0,113900622,87.73,7.1526830196380615
20,1,92.448,375321616.0,113900622,87.73,7.579835891723633
20,2,92.488,374629840.0,113900622,87.73,7.3010008335113525
20,3,92.586,374727184.0,113900622,87.73,6.941434144973755
20,4,92.462,377209744.0,113900622,87.73,7.392313003540039
20,5,92.432,377818896.0,113900622,87.73,7.292611837387085
20,6,92.212,377842048.0,113900622,87.73,6.9403464794158936
21,0,92.27,346113784.0,113633294,87.72,7.337019681930542
21,1,92.418,364029712.0,113633294,87.72,7.261937141418457
21,2,92.44,363922000.0,113633294,87.72,6.9762351512908936
21,3,92.464,363435280.0,113633294,87.72,6.99915075302124
21,4,92.42399999999999,366501904.0,113633294,87.72,6.954953908920288
21,5,92.44,366842384.0,113633294,87.72,7.333860397338867
21,6,92.394,366860384.0,113633294,87.72,6.932618618011475
22,0,92.256,334821880.0,113507342,87.81,7.058271646499634
22,1,92.448,352737808.0,113507342,87.81,7.294740915298462
22,2,92.412,353214160.0,113507342,87.81,7.307353734970093
22,3,92.06800000000001,352143376.0,113507342,87.81,7.23830771446228
22,4,92.348,355794064.0,113507342,87.81,6.912446022033691
22,5,92.278,355865872.0,113507342,87.81,7.308274984359741
22,6,92.242,355900880.0,113507342,87.81,6.9353039264678955
23,0,92.22200000000001,325290808.0,113393230,87.74,6.885876655578613
23,1,92.336,342040336.0,113393230,87.74,7.24893856048584
23,2,92.34,342808720.0,113393230,87.74,6.846940755844116
23,3,92.174,341445904.0,113393230,87.74,6.860408306121826
23,4,92.306,345096592.0,113393230,87.74,6.828642845153809
23,5,92.38199999999999,345483792.0,113393230,87.74,6.911184787750244
23,6,92.318,345491488.0,113393230,87.74,7.351519823074341
24,0,92.04,297843808.0,85320526,87.67,6.888636589050293
24,1,92.07,315759736.0,85320526,87.67,6.933058977127075
24,2,92.032,315361720.0,85320526,87.67,6.872693300247192
24,3,92.0,313998904.0,85320526,87.67,6.8780739307403564
24,4,92.00399999999999,317649592.0,85320526,87.67,6.952739477157593
24,5,92.184,318273336.0,85320526,87.67,7.25612735748291
24,6,92.10199999999999,318332568.0,85320526,87.67,6.894436597824097
25,0,91.944,290826336.0,85200910,87.73,7.2687087059021
25,1,92.188,308742264.0,85200910,87.73,6.92618465423584
25,2,92.018,308344248.0,85200910,87.73,6.795955419540405
25,3,91.778,306981432.0,85200910,87.73,6.855614423751831
25,4,91.84400000000001,311247288.0,85200910,87.73,6.947840690612793
25,5,92.036,311571256.0,85200910,87.73,6.883134603500366
25,6,91.482,311605416.0,85200910,87.73,6.881177663803101
26,0,91.86999999999999,282461664.0,85081358,87.79,6.911634922027588
26,1,92.08800000000001,299211192.0,85081358,87.79,7.364121437072754
26,2,92.054,302317560.0,85081358,87.79,6.94727897644043
26,3,91.904,297450360.0,85081358,87.79,6.905150890350342
26,4,91.922,301716216.0,85081358,87.79,6.908523082733154
26,5,92.006,302276728.0,85081358,87.79,6.886676549911499
26,6,91.67,302337768.0,85081358,87.79,6.932235956192017
27,0,91.664,274096992.0,84933838,87.75,7.320776462554932
27,1,91.99000000000001,289680120.0,84933838,87.75,6.895542144775391
27,2,92.066,292981176.0,84933838,87.75,6.844550371170044
27,3,91.95400000000001,287919288.0,84933838,87.75,7.332075595855713
27,4,91.78,292185144.0,84933838,87.75,6.995164632797241
27,5,92.01599999999999,293061048.0,84933838,87.75,6.955603837966919
27,6,91.702,293053656.0,84933838,87.75,6.950052976608276
